station_id,station_name,rmse_sarima,mae_sarima,rmse_randomforest,mae_randomforest,winner
12,"Malet Street, Bloomsbury",2.8560168200965363,1.829892587846356,2.896928450179269,1.7064944263499118,SARIMA
14,"Argyle Street, Kings Cross",17.517641216392366,8.449140531190817,15.248024057660892,5.778910807149221,RandomForest
66,"Holborn Circus, Holborn",6.9211206192275885,3.98496069985316,5.759020050676212,2.512725290755264,RandomForest
73,"Old Street Station, St. Luke's",2.860416852809059,1.8654725206882574,2.751086083495359,1.71949027767681,RandomForest
101,"Queen Street 1, Bank",2.4778546868347093,1.5132185785358452,2.7875097090981993,1.5875714078341312,SARIMA
132,"Bethnal Green Road, Shoreditch",2.554122178916271,1.8093117770047236,2.6415724991317506,1.7935885927018957,SARIMA
154,"Waterloo Station 3, Waterloo",21.407421900735315,8.265354056705426,19.14244460820088,6.687190689183491,RandomForest
191,"Hyde Park Corner, Hyde Park",2.7498237194820567,1.2539650144262022,2.7691590488843523,1.1024917028423602,SARIMA
194,"Hop Exchange, The Borough",3.8345902106314447,2.5451829595768176,4.000096034744818,2.4826659465148304,SARIMA
215,"Moorfields, Moorgate",3.1293511330950703,1.849545745195353,2.868853690395577,1.444086384163418,RandomForest
251,"Brushfield Street, Liverpool Street",3.835442120103748,2.3189773844848864,3.6472099966213367,2.13440205760189,RandomForest
341,"Craven Street, Strand",2.2433060153694333,1.5818091067124247,2.34894259324653,1.5764893650293987,SARIMA
361,"Waterloo Station 2, Waterloo",8.319462431062934,4.292979460906921,9.70046798452435,4.090528427709723,SARIMA
427,"Cheapside, Bank",4.545194251517871,2.6377778355377437,4.375097544127354,2.122426179785702,RandomForest
732,"Duke Street Hill, London Bridge",2.358997148508007,1.6383226364932928,2.3657967509893845,1.5903283328612778,SARIMA
