rank,station_id,station_name,lat,lon,mean_net_flow
1,361,"Waterloo Station 2, Waterloo",51.503919,-0.113426,0.9662698412698413
2,574,"Eagle Wharf Road, Hoxton",51.53356,-0.09315,0.7658730158730159
3,93,"Cloudesley Road, Angel",51.534408,-0.109025,0.5304232804232805
4,326,"Graham Street, Angel",51.532661,-0.099981,0.4828042328042328
5,351,"Macclesfield Rd, St Lukes",51.529423,-0.097122,0.4662698412698413
6,154,"Waterloo Station 3, Waterloo",51.503791,-0.112824,0.46164021164021163
7,374,"Waterloo Station 1, Waterloo",51.504027,-0.113864,0.42724867724867727
8,339,,,,0.421957671957672
9,170,"Hardwick Street, Clerkenwell",51.527842,-0.108068,0.4027777777777778
10,253,"Shoreditch Park, Hoxton",51.534042,-0.086379,0.38425925925925924
11,189,"Claremont Square, Angel",51.531666,-0.109914,0.37896825396825395
12,534,"Goldsmith's Row, Haggerston",51.531864,-0.066035,0.36507936507936506
13,286,"St. John's Wood Road, St. John's Wood",51.527294,-0.174653,0.35383597883597884
14,697,"Charlotte Terrace, Angel",51.536392,-0.112721,0.3498677248677249
15,20,"Drummond Street , Euston",51.527326,-0.136052,0.34854497354497355
